codigoDistrito,ign_2026_original,nombre_corregido,fuenteNombre
10103,Almeares,Almendares,INEC_LOCALIDADES_2024
10105,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
10105,Iiana,Indiana,INEC_LOCALIDADES_2024
10106,Méez,Méndez,INEC_LOCALIDADES_2024
10108,Mata Redoa,Mata Redonda,INEC_LOCALIDADES_2024
10108,Holaa,Holanda,INEC_LOCALIDADES_2024
10108,Jacaraa,Jacaranda,INEC_LOCALIDADES_2024
10109,Rincón Grae,Rincón Grande,INEC_LOCALIDADES_2024
10110,La Alejarina,La Alejandrina,INEC_LOCALIDADES_2024
10201,Haciea,Hacienda,INEC_LOCALIDADES_2024
10201,Haciea El Poro,Hacienda El Poro,INEC_LOCALIDADES_2024
10201,Jacalaa,Jacalanda,INEC_LOCALIDADES_2024
10201,La Coesa,La Condesa,INEC_LOCALIDADES_2024
10201,Plaza San Ares,Plaza San Andres,INEC_LOCALIDADES_2024
10203,Haciea Cocoy,Hacienda Cocoy,INEC_LOCALIDADES_2024
10203,Aalucia,Andalucia,INEC_LOCALIDADES_2024
10203,Aro,Andro,INEC_LOCALIDADES_2024
10203,Calahoa,Calahonda,INEC_LOCALIDADES_2024
10203,Coado De Baviera,Condado De Baviera,INEC_LOCALIDADES_2024
10203,Coado Del Country,Condado Del Country,INEC_LOCALIDADES_2024
10203,Jacaraas Del Llano,Jacarandas Del Llano,INEC_LOCALIDADES_2024
10203,La Coesa,La Condesa,INEC_LOCALIDADES_2024
10203,Villa Lia,Villa Linda,INEC_LOCALIDADES_2024
10301,Tica Lia,Tica Linda,INEC_LOCALIDADES_2024
10301,Tica Lia Etapa 1,Tica Linda Etapa 1,INEC_LOCALIDADES_2024
10301,Los Coes,Los Condes,INEC_LOCALIDADES_2024
10301,Loma Lia,Loma Linda,INEC_LOCALIDADES_2024
10303,La Leyea,La Leyenda,INEC_LOCALIDADES_2024
10307,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
10309,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
10311,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
10312,Haciea de Oro,Hacienda de Oro,INEC_LOCALIDADES_2024
10313,Las Maarinas,Las Mandarinas,INEC_LOCALIDADES_2024
10402,Llano Grae,Llano Grande,INEC_LOCALIDADES_2024
10402,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
10406,Caelarita,Candelarita,INEC_LOCALIDADES_2024
10408,Loma Lia,Loma Linda,INEC_LOCALIDADES_2024
10601,Fernaa,Fernanda,INEC_LOCALIDADES_2024
10603,Monte Redoo,Monte Redondo,INEC_LOCALIDADES_2024
10607,Cuesta Grae,Cuesta Grande,INEC_LOCALIDADES_2024
10701,Quebrada Hoa,Quebrada Honda,INEC_LOCALIDADES_2024
10701,Haciea Los Maderos,Hacienda Los Maderos,INEC_LOCALIDADES_2024
10701,Bosque Escoido,Bosque Escondido,INEC_LOCALIDADES_2024
10701,Haciea Los Bambues,Hacienda Los Bambues,INEC_LOCALIDADES_2024
10701,Haciea Colón,Hacienda Colón,INEC_LOCALIDADES_2024
10701,Los Laureles De La Iia,Los Laureles De La India,INEC_LOCALIDADES_2024
10705,Llano Grae,Llano Grande,INEC_LOCALIDADES_2024
10801,Iepeencia,Independencia,INEC_LOCALIDADES_2024
10801,Don Fernao,Don Fernando,INEC_LOCALIDADES_2024
10801,Paso Hoo,Paso Hondo,INEC_LOCALIDADES_2024
10804,Cuesta Grae,Cuesta Grande,INEC_LOCALIDADES_2024
10804,Haciea Las Palmas,Hacienda Las Palmas,INEC_LOCALIDADES_2024
10804,Haciea Vista Del Rey,Hacienda Vista Del Rey,INEC_LOCALIDADES_2024
10805,Melia,Melinda,INEC_LOCALIDADES_2024
10806,Rancho Redoo,Rancho Redondo,INEC_LOCALIDADES_2024
10807,Lia Vista,Linda Vista,INEC_LOCALIDADES_2024
10901,Aguas Lias,Aguas Lindas,INEC_LOCALIDADES_2024
10901,Obao,Obando,INEC_LOCALIDADES_2024
10903,Liora,Lindora,INEC_LOCALIDADES_2024
10903,Houras,Honduras,INEC_LOCALIDADES_2024
10903,Bosques de Liora,Bosques de Lindora,INEC_LOCALIDADES_2024
10903,Bosques De Liora,Bosques De Lindora,INEC_LOCALIDADES_2024
10903,Haciea Liora,Hacienda Lindora,INEC_LOCALIDADES_2024
10903,La Escoida,La Escondida,INEC_LOCALIDADES_2024
10904,Mata Grae,Mata Grande,INEC_LOCALIDADES_2024
10904,Haciea del Sol,Hacienda del Sol,INEC_LOCALIDADES_2024
10904,Alora,Alondra,INEC_LOCALIDADES_2024
10905,Haciea Real,Hacienda Real,INEC_LOCALIDADES_2024
10905,Cerro Baeras,Cerro Banderas,INEC_LOCALIDADES_2024
10905,Haciea Paraiso,Hacienda Paraiso,INEC_LOCALIDADES_2024
10906,Bosque Escoido,Bosque Escondido,INEC_LOCALIDADES_2024
11002,Pueblo Escoido,Pueblo Escondido,INEC_LOCALIDADES_2024
11002,Río Lio,Río Lindo,INEC_LOCALIDADES_2024
11002,Lia,Linda,INEC_LOCALIDADES_2024
11004,Vista Grae,Vista Grande,INEC_LOCALIDADES_2024
11005,Alajuelia,Alajuelinda,INEC_LOCALIDADES_2024
11103,Villa Area,Villa Andrea,INEC_LOCALIDADES_2024
11104,Normaia,Normandia,INEC_LOCALIDADES_2024
11104,Aalucia,Andalucia,INEC_LOCALIDADES_2024
11104,Normaia,Normandia,INEC_LOCALIDADES_2024
11105,Cerro Iio,Cerro Indio,INEC_LOCALIDADES_2024
11105,Lotes Méez,Lotes Méndez,INEC_LOCALIDADES_2024
11202,Hoonada,Hondonada,INEC_LOCALIDADES_2024
11301,Los Aes,Los Andes,INEC_LOCALIDADES_2024
11305,Los Almeros,Los Almendros,INEC_LOCALIDADES_2024
11401,Olia,Olinda,INEC_LOCALIDADES_2024
11401,La Alora,La Alondra,INEC_LOCALIDADES_2024
11403,Are Challe,Andre Challe,INEC_LOCALIDADES_2024
11403,Lio Horizonte,Lindo Horizonte,INEC_LOCALIDADES_2024
11501,La Roa,La Ronda,INEC_LOCALIDADES_2024
